2015-01-15 11:50:13 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:50:13 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:50:13 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/css/widget-matrix.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:50:14 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file themes/cupertino/cupertino.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:50:14 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file application.css no change on TS : 2015-01-14T11:40:06.000Z
2015-01-15 11:50:14 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file menu.waPage/scripts/index-smartphone.js no change on TS : 2015-01-15T11:42:09.000Z
2015-01-15 11:53:32 [com.wakanda-software.advanc.advanc] INFO - Datastore model reloaded
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.js no change on TS : 2014-10-22T13:02:18.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/css/widget-button.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/widget-richText-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/richText/css/widget-richText.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/widget-navigationView.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/widget-navigationView-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/navigationView/css/widget-navigationView.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/widget-list.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/widget-list-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/list/css/widget-list.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/widget-matrix-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/matrix/css/widget-matrix.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file themes/cupertino/cupertino.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file application.css no change on TS : 2015-01-14T11:40:06.000Z
2015-01-15 11:58:56 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file menu.waPage/scripts/index-smartphone.js no change on TS : 2015-01-15T11:50:58.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.js no change on TS : 2014-10-22T13:02:18.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file minifiedCoresWAF/mobile.core.min.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/widget-container-conf.js no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/container/css/widget-container.css no change on TS : 2014-10-08T14:53:42.000Z
2015-01-15 11:59:55 [com.wakanda-software.advanc.advanc] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/button/widget-button.js no change on TS : 2014-10-08T14:53:42.000Z
